rank,prev_rank,name,league,off,def,spi
526,527,Virtus Entella,Italy Serie B,0.74,1.71,23.6
527,517,Helsingborgs IF,Swedish Allsvenskan,0.85,1.89,23.52
528,532,Pordenone Calcio,Italy Serie B,0.74,1.73,23.34
529,530,Sarpsborg,Norwegian Tippeligaen,0.69,1.66,23.19
530,534,F.B.C Unione Venezia,Italy Serie B,0.72,1.72,23.06
531,522,Shimizu S-Pulse,Japanese J League,0.98,2.13,22.94
532,536,Pau,French Ligue 2,0.72,1.73,22.82
533,548,Gillingham,English League One,0.73,1.75,22.79
534,526,Portsmouth,English League One,0.7,1.7,22.77
535,550,Lincoln City,English League One,0.77,1.83,22.69
536,551,Austin Bold FC,United Soccer League,0.98,2.15,22.66
537,535,Dundee Utd,Scottish Premiership,0.77,1.82,22.66
538,529,Cosenza,Italy Serie B,0.74,1.77,22.63
539,533,Indy Eleven,United Soccer League,0.72,1.76,22.41
540,541,Bloem Celtic,South African ABSA Premier League,0.8,1.9,22.37
541,544,Vegalta Sendai,Japanese J League,0.78,1.87,22.24
542,538,New Mexico United,United Soccer League,0.86,2.0,22.2
543,531,Fleetwood Town,English League One,0.75,1.83,22.04
544,554,Ascoli,Italy Serie B,0.79,1.9,21.99
545,545,Pisa,Italy Serie B,0.73,1.81,21.94
546,559,Swindon Town,English League One,0.84,1.98,21.93
547,546,Panionios,Greek Super League,0.51,1.45,21.84
548,537,US Pescara,Italy Serie B,0.69,1.76,21.83
549,540,Orange County SC,United Soccer League,0.71,1.79,21.75
550,552,Varbergs BoIS FC,Swedish Allsvenskan,0.82,1.99,21.37
551,542,Vancouver Whitecaps,Major League Soccer,0.86,2.07,21.29
552,549,Vicenza,Italy Serie B,0.74,1.88,21.23
553,553,Volos NFC,Greek Super League,0.65,1.73,21.22
554,539,Blackpool,English League One,0.7,1.82,21.04
555,543,Birmingham Legion FC,United Soccer League,0.81,2.01,20.93
556,556,Hamilton Academical,Scottish Premiership,0.71,1.87,20.76
557,560,Charleston Battery,United Soccer League,0.67,1.81,20.39
558,573,Yokohama FC,Japanese J League,0.77,2.0,20.26
559,557,El Paso Locomotive FC,United Soccer League,0.64,1.8,20.04
560,563,Reggiana,Italy Serie B,0.71,1.91,19.98
561,558,Burton Albion,English League One,0.85,2.14,19.97
562,555,St Johnstone,Scottish Premiership,0.57,1.69,19.87
563,565,Kalmar FF,Swedish Allsvenskan,0.7,1.97,19.11
564,564,St Mirren,Scottish Premiership,0.57,1.75,19.09
565,571,Sandefjord,Norwegian Tippeligaen,0.65,1.89,19.02
566,566,San Diego Loyal SC,United Soccer League,0.62,1.84,19.02
567,568,Highlands Park FC,South African ABSA Premier League,0.57,1.75,18.95
568,561,Ross County,Scottish Premiership,0.67,1.95,18.63
569,562,Milton Keynes Dons,English League One,0.64,1.9,18.56
570,569,Saint Louis FC,United Soccer League,0.66,1.99,17.9
571,570,Falkenbergs FF,Swedish Allsvenskan,0.71,2.1,17.62
572,572,Shonan Bellmare,Japanese J League,0.6,1.92,17.39
573,575,Central Coast Mariners,Australian A-League,0.78,2.26,17.34
574,576,Shrewsbury Town,English League One,0.56,1.85,17.3
575,578,Golden Arrows,South African ABSA Premier League,0.43,1.63,17.14
576,567,Charlotte Independence,United Soccer League,0.7,2.14,16.94
577,580,Cheltenham Town,English League Two,0.56,1.89,16.93
578,577,Colchester United,English League Two,0.57,1.91,16.92
579,579,Plymouth Argyle,English League One,0.67,2.1,16.83
580,586,North Carolina FC,United Soccer League,0.68,2.15,16.59
581,574,Miami FC,United Soccer League,0.7,2.2,16.33
582,583,Real Monarchs SLC,United Soccer League,0.66,2.13,16.28
583,582,IK Start,Norwegian Tippeligaen,0.59,2.04,15.88
584,585,LA Galaxy II,United Soccer League,0.79,2.4,15.84
585,581,Accrington Stanley,English League One,0.62,2.11,15.64
586,587,Polokwane City FC,South African ABSA Premier League,0.47,1.84,15.52
587,592,AFC Wimbledon,English League One,0.59,2.1,15.12
588,588,Oldham Athletic,English League Two,0.67,2.27,15.04
